animal,resSaveIndex,band,binNumber,binStartUs,binEndUs,binMidMinutesFromRun1Start,validSecondsInBin,burstCount,burstRatePerMinute
ANM00190422,5,beta2_23_30Hz,28,7918900000,7978900000,27.5,16.2373939193185,7,25.8662197940707
ANM00190422,5,beta2_23_30Hz,29,7978900000,8038900000,28.5,8.61189119963856,0,0
ANM00190422,5,beta2_23_30Hz,30,8038900000,8098900000,29.5,8.3726438396486,1,7.1661951886536
ANM00190422,5,beta2_23_30Hz,31,8098900000,8158900000,30.5,20.3745484791449,15,44.1727580329561
ANM00190422,5,beta2_23_30Hz,32,8158900000,8218900000,31.5,9.95309567958227,3,18.0848256456784
ANM00190422,5,beta2_23_30Hz,33,8218900000,8278900000,32.5,0.961044479959665,0,0
ANM00190422,5,beta2_23_30Hz,34,8278900000,8338900000,33.5,42.9276671981983,7,9.78389992777496
ANM00190422,5,beta2_23_30Hz,35,8338900000,8398900000,34.5,54.5027788777125,40,44.0344519934454
ANM00190422,5,beta2_23_30Hz,36,8398900000,8458900000,35.5,45.8706124780748,30,39.2408102433854
ANM00190422,5,beta2_23_30Hz,37,8458900000,8518900000,36.5,52.0890163178138,17,19.5818633582292
ANM00190422,5,beta2_23_30Hz,38,8518900000,8578900000,37.5,51.5466547178366,10,11.6399406185399
ANM00190422,5,beta2_23_30Hz,39,8578900000,8638900000,38.5,54.3811276777176,17,18.7565069640499
ANM00190422,5,beta2_23_30Hz,40,8638900000,8698900000,39.5,46.4362905580511,20,25.8418574261407
ANM00190422,5,beta2_23_30Hz,41,8698900000,8758900000,40.5,42.7654655982051,11,15.433013315017
ANM00190422,5,beta2_23_30Hz,42,8758900000,8818900000,41.5,44.1066700781488,6,8.16203080763401
ANM00190422,5,beta2_23_30Hz,43,8818900000,8878900000,42.5,44.1046425581489,12,16.3248120433292
ANM00190422,5,beta2_23_30Hz,44,8878900000,8938900000,43.5,54.8058931176998,22,24.0850011725053
ANM00190422,5,beta2_23_30Hz,45,8938900000,8998900000,44.5,52.5735935977935,23,26.2489190021418
ANM00190422,5,beta2_23_30Hz,46,8998900000,9058900000,45.5,40.6193356782952,12,17.7255483866697
ANM00190422,5,beta2_23_30Hz,47,9058900000,9118900000,46.5,47.2148582380184,13,16.5202232752216
ANM00190422,5,beta2_23_30Hz,48,9118900000,9158100000,47.3266666666667,19.6020633591773,5,15.3045112906211
ANM204878,6,beta_13_30Hz,1,7504900000,7564900000,0.5,36.7021670395174,0,0
ANM204878,6,beta_13_30Hz,2,7564900000,7624900000,1.5,42.1450444794458,1,1.42365492173729
ANM204878,6,beta_13_30Hz,3,7624900000,7684900000,2.5,40.4145561594686,2,2.96922721423691
ANM204878,6,beta_13_30Hz,4,7684900000,7744900000,3.5,40.6233907194658,3,4.43094475404654
ANM204878,6,beta_13_30Hz,5,7744900000,7804900000,4.5,29.0340863996182,0,0
