eventSet,movementGroup,timeFromEventSec,meanEventBeta2EnvelopeZ,semEventBeta2EnvelopeZ,meanControlBeta2EnvelopeZ,semControlBeta2EnvelopeZ,nAnimals,nPairs
TierAC,SustainedImmobility,-0.725,0.302345218687673,0.072369345634291,0.0672237855035234,0.0373529583862915,5,257
TierAC,SustainedImmobility,-0.675,0.25696159214501,0.0421056668527091,0.093356136998249,0.0507414896963314,5,257
TierAC,SustainedImmobility,-0.625,0.19068180343209,0.0628482899608932,0.130392478069916,0.053578340118026,5,257
TierAC,SustainedImmobility,-0.575,0.139442753863008,0.126556990222756,0.182383597855191,0.049289483988112,5,257
TierAC,SustainedImmobility,-0.525,0.154690911549197,0.137558472730326,0.191816580942546,0.0654255957195559,5,257
TierAC,SustainedImmobility,-0.475,0.193632668558288,0.115641076432066,0.216791736649174,0.0829037617679674,5,257
TierAC,SustainedImmobility,-0.425,0.269951526324585,0.075782003520224,0.261518612921407,0.0571759822826156,5,257
TierAC,SustainedImmobility,-0.375,0.33522922444472,0.0649793995929265,0.233886945469813,0.0416739532960312,5,257
TierAC,SustainedImmobility,-0.325,0.437274713058668,0.0842110576789869,0.147478260520321,0.0667489189148939,5,257
TierAC,SustainedImmobility,-0.275,0.533836314791029,0.103797238836768,0.0718007050400265,0.0861575992670218,5,257
TierAC,SustainedImmobility,-0.225,0.561615583313897,0.0898455128002408,0.0763632946179052,0.0775809400581273,5,257
TierAC,SustainedImmobility,-0.175,0.58575056729829,0.0776097659788503,0.0348281303862102,0.108899322643406,5,257
TierAC,SustainedImmobility,-0.125,0.714549244167217,0.131094515119939,0.000595174655012787,0.123588653180911,5,257
TierAC,SustainedImmobility,-0.075,0.842210268443585,0.249079718416331,0.0304871959789658,0.0729137318331122,5,257
TierAC,SustainedImmobility,-0.0249999999999999,1.02704382954444,0.379152393840329,0.0788232759074157,0.0575982100997134,5,257
TierAC,SustainedImmobility,0.0249999999999999,1.19381655594747,0.386866247616201,0.122308459196395,0.0852061143119743,5,257
TierAC,SustainedImmobility,0.075,1.19554951563028,0.253937538310023,0.150183871409681,0.0888389228881856,5,257
TierAC,SustainedImmobility,0.125,1.0357289743575,0.137942665233903,0.134368672356762,0.100039502830892,5,257
TierAC,SustainedImmobility,0.175,0.774111654405682,0.0963455396635141,0.108768144761213,0.124835512052437,5,257
TierAC,SustainedImmobility,0.225,0.476303213153285,0.104359395133089,0.0892773713103687,0.138186384151685,5,257
TierAC,SustainedImmobility,0.275,0.324803555105424,0.120891222312924,0.135440797799288,0.139883028843613,5,257
